name,pai,material,LOO_group,path,partition
modelling_clay_674_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_674_10_orig.jpg,train
modelling_clay_667_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_667_8_orig.jpg,train
modelling_clay_10_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_10_8_orig.jpg,train
modelling_clay_s_681_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_681_10_orig.jpg,train
modelling_clay_671_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_671_10_orig.jpg,train
modelling_clay_s_677_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_677_9_orig.jpg,train
modelling_clay_7_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_7_7_orig.jpg,train
modelling_clay_s_678_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_678_7_orig.jpg,train
modelling_clay_674_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_674_9_orig.jpg,train
modelling_clay_s_681_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_681_8_orig.jpg,train
modelling_clay_12_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_12_9_orig.jpg,train
modelling_clay_668_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_668_9_orig.jpg,train
modelling_clay_6_5_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_6_5_orig.jpg,train
modelling_clay_s_680_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_680_7_orig.jpg,train
modelling_clay_s_676_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_676_10_orig.jpg,train
modelling_clay_671_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_671_8_orig.jpg,train
modelling_clay_s_680_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_680_9_orig.jpg,train
modelling_clay_s_264_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_264_10_orig.jpg,train
modelling_clay_669_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_669_9_orig.jpg,train
modelling_clay_s_683_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_683_9_orig.jpg,train
modelling_clay_s_682_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_682_7_orig.jpg,train
modelling_clay_669_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_669_7_orig.jpg,train
modelling_clay_s_676_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_676_9_orig.jpg,train
modelling_clay_s_681_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_681_7_orig.jpg,train
modelling_clay_665_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_665_7_orig.jpg,train
modelling_clay_s_675_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_675_9_orig.jpg,train
modelling_clay_s_678_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_678_9_orig.jpg,train
modelling_clay_668_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_668_8_orig.jpg,train
modelling_clay_s_680_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_680_10_orig.jpg,train
modelling_clay_1_5_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_1_5_orig.jpg,train
modelling_clay_s_675_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_675_8_orig.jpg,valid
modelling_clay_671_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_671_9_orig.jpg,valid
modelling_clay_s_270_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_270_8_orig.jpg,valid
modelling_clay_664_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_664_7_orig.jpg,valid
modelling_clay_s_267_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_267_8_orig.jpg,valid
modelling_clay_670_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_670_7_orig.jpg,valid
modelling_clay_s_675_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_675_7_orig.jpg,valid
modelling_clay_s_267_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_267_7_orig.jpg,valid
modelling_clay_671_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_671_7_orig.jpg,valid
modelling_clay_672_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_672_7_orig.jpg,valid
modelling_clay_s_684_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_684_7_orig.jpg,valid
modelling_clay_668_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_668_10_orig.jpg,valid
modelling_clay_s_262_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_262_7_orig.jpg,valid
modelling_clay_9_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_9_10_orig.jpg,valid
modelling_clay_s_681_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_681_9_orig.jpg,valid
modelling_clay_s_678_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_678_10_orig.jpg,valid
modelling_clay_s_677_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_677_10_orig.jpg,valid
modelling_clay_664_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_664_9_orig.jpg,valid
modelling_clay_s_682_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_682_8_orig.jpg,valid
modelling_clay_668_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_668_7_orig.jpg,valid
modelling_clay_s_263_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_263_7_orig.jpg,test
modelling_clay_670_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_670_9_orig.jpg,test
modelling_clay_4_5_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_4_5_orig.jpg,test
modelling_clay_12_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_12_10_orig.jpg,test
modelling_clay_673_10_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_673_10_orig.jpg,test
modelling_clay_s_679_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_679_7_orig.jpg,test
modelling_clay_s_270_9_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_270_9_orig.jpg,test
modelling_clay_674_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_674_8_orig.jpg,test
modelling_clay_s_269_8_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_269_8_orig.jpg,test
modelling_clay_s_265_7_orig,modelling_clay,modelling_clay,default_color,COLFISPOOF/modelling_clay/modelling_clay/modelling_clay_s_265_7_orig.jpg,test
